WKT,OBJECTID,STATION_ID,ASSET_ID,NAME,LONGNAME,LINES,BRANCH_ID,STATUS,MILEPOST,FAREZONE,ADA,ADA2,PKNRD,BIKEPKNG,TICKET_AVA,ADDRESS,MUNICIPALI,TELEPHONE,WEBLINK,LABELANGLE,EDIT_INIT,EDIT_DATE,YEAR_OPEN
"MULTIPOINT (-87.63161093490038 41.674322921245242)",11,4160.00000000,51204160.00000000,Stewart Ridge,Stewart Ridge,Electric,4,1,16.00000000,D,1,N,0,0,,Stewart Ridge (S. of 120th Pl.),Chicago,,,135,ks,1995/08/02,
"MULTIPOINT (-87.64224673432804 41.674215077762838)",12,4167.00000000,51204167.00000000,West Pullman,West Pullman,Electric,4,1,16.70000000,D,1,N,1,0,,Halsted St.,Chicago,,,135,ks,1995/08/02,
"MULTIPOINT (-87.652156725588114 41.674114190154611)",13,4170.00000000,51204170.00000000,Racine Ave.,Racine Avenue,Electric,4,1,17.00000000,D,1,N,1,0,,Racine Ave. (S. of 120th St.),Chicago,,,135,ks,1995/08/02,
"MULTIPOINT (-87.660623329657398 41.669433524168895)",14,4179.00000000,51204179.00000000,Ashland Ave.,Ashland Avenue,Electric,4,1,17.90000000,D,1,N,1,0,,Ashland Ave. (near 124th St.),Calumet Park,,,0,ks,1995/08/02,
"MULTIPOINT (-87.66878654736017 41.662325624128755)",15,4184.00000000,51204184.00000000,Burr Oak,Burr Oak,Electric,4,1,18.40000000,D,1,N,1,0,,Burr Oak (near Lincoln St.),Blue Island,,,0,ks,1995/08/02,
"MULTIPOINT (-87.676125978272552 41.655696144925649)",16,4189.00000000,51204189.00000000,Blue Island,Blue Island,Electric,4,1,18.90000000,D,0,N,1,0,,Vermont St. (near Irving St.),Blue Island,,,0,ks,1995/08/02,
"MULTIPOINT (-87.62308734428467 41.884365616823466)",17,5000.00000000,51205000.00000000,Millenium Station,Millenium Station,"Electric, S. Shore",5,1,0.00000000,A,0,N,0,0,,Michigan Ave. (between South Water and Randolph St.),Chicago,,,0,aef,2001/03/08,
"MULTIPOINT (-87.622811758151514 41.876998393434747)",18,5008.00000000,51205008.00000000,Van Buren St.,Van Buren Street,"Electric, S. Shore",5,1,0.80000000,A,0,A,0,0,,Michigan Ave. (between Jackson and Van Buren Sts.),Chicago,,,0,ks,1995/09/14,
"MULTIPOINT (-87.621419664575569 41.868392379065419)",19,5014.00000000,51205014.00000000,Museum Campus,Museum Campus/11th St,"Electric, S. Shore",5,1,1.40000000,A,0,N,0,0,,Roosevelt Rd. and Indiana Ave.,Chicago,,,0,aef,2001/03/08,
"MULTIPOINT (-87.618034211828956 41.857731034183914)",20,5022.00000000,51205022.00000000,18th St.,18th Street,Electric,5,1,2.20000000,A,1,N,0,0,,18th St. (near Calumet Ave.),Chicago,,,0,ks,1995/08/02,
